2021-06-16T09:06:06.663Z [AUDIT] Token created by 'anonymous': tokenId='76929b71-5710-4a53-b627-3a8a26026d9d', issuer='jfrou@01f8a13vh571fjns2thfm5cwkc', subject='jfrou@01f8a13vh571fjns2thfm5cwkc', expiry=none, refreshable=false
2021-06-16T09:06:07.859Z [AUDIT] Token created by 'anonymous': tokenId='a9f05b05-49a5-49d2-b506-3c64053735ca', issuer='jfac@01f8a13cva1n5q1j55m00w13rw', subject='jfac@01f8a13cva1n5q1j55m00w13rw', expiry=1623834487845, refreshable=false
2021-06-16T09:06:08.195Z [AUDIT] Token created by 'anonymous': tokenId='26620841-6c03-4b59-9685-65013d6d8ab5', issuer='jfac@01f8a13cva1n5q1j55m00w13rw', subject='jfac@01f8a13cva1n5q1j55m00w13rw', expiry=1623834488181, refreshable=false
2021-06-16T09:06:08.544Z [AUDIT] Token created by 'anonymous': tokenId='ccf692d0-1e66-4ef6-8dae-37e1273bd89e', issuer='jfac@01f8a13cva1n5q1j55m00w13rw', subject='jfac@01f8a13cva1n5q1j55m00w13rw', expiry=1623834488540, refreshable=false
2021-06-16T09:06:09.027Z [AUDIT] Token created by 'anonymous': tokenId='a4be9e3f-57bd-4851-9891-4f62377d795a', issuer='jfac@01f8a13cva1n5q1j55m00w13rw', subject='jfac@01f8a13cva1n5q1j55m00w13rw', expiry=1623834489022, refreshable=false
2021-06-16T09:06:09.540Z [AUDIT] Token created by 'anonymous': tokenId='623f84d2-e6dd-452b-b289-084549967a39', issuer='jfmd@01f8a13z28db6kgy5vn7gfnqt1', subject='jfmd@01f8a13z28db6kgy5vn7gfnqt1', expiry=none, refreshable=false
2021-06-16T09:06:09.881Z [AUDIT] Token created by 'anonymous': tokenId='5e18d173-de50-4f93-b849-697176fa591d', issuer='jfac@01f8a13cva1n5q1j55m00w13rw', subject='jfac@01f8a13cva1n5q1j55m00w13rw', expiry=1623834489876, refreshable=false
2021-06-16T09:06:10.252Z [AUDIT] Token created by 'anonymous': tokenId='55d009bb-94ee-49ce-be2b-b85e56731c60', issuer='jfevt@01f8a13cva1n5q1j55m00w13rw', subject='jfevt@01f8a13cva1n5q1j55m00w13rw', expiry=none, refreshable=false
2021-06-16T09:06:10.513Z [AUDIT] Token created by 'jfevt@01f8a13cva1n5q1j55m00w13rw': tokenId='792795b4-eb51-477e-ab80-38f2152c3617', issuer='jfevt@01f8a13cva1n5q1j55m00w13rw', subject='jfevt@01f8a13cva1n5q1j55m00w13rw', expiry=1623920770492, refreshable=true
2021-06-16T09:06:10.519Z [AUDIT] Token created by 'jfevt@01f8a13cva1n5q1j55m00w13rw': tokenId='bd76ee5f-2b5e-4f77-a59d-65f29b2def11', issuer='jfevt@01f8a13cva1n5q1j55m00w13rw', subject='jfevt@01f8a13cva1n5q1j55m00w13rw', expiry=1623920770498, refreshable=true
2021-06-16T09:06:10.560Z [AUDIT] Token created by 'jfevt@01f8a13cva1n5q1j55m00w13rw': tokenId='8dce7cfb-f016-461d-83b3-03edf2de38de', issuer='jfevt@01f8a13cva1n5q1j55m00w13rw', subject='jfevt@01f8a13cva1n5q1j55m00w13rw', expiry=1623920770501, refreshable=true
2021-06-16T09:06:10.562Z [AUDIT] Token created by 'jfevt@01f8a13cva1n5q1j55m00w13rw': tokenId='ee6b9bf2-5bc0-495d-835b-c5ccdcf20e9f', issuer='jfevt@01f8a13cva1n5q1j55m00w13rw', subject='jfevt@01f8a13cva1n5q1j55m00w13rw', expiry=1623920770498, refreshable=true
2021-06-16T09:06:27.743Z [AUDIT] Token created by 'anonymous': tokenId='81a2e232-f9e9-41bc-b980-51c1d4cd77aa', issuer='jfrt@01f8a14r72mv3q01pjn0kj16qe', subject='jfrt@01f8a14r72mv3q01pjn0kj16qe', expiry=none, refreshable=false
2021-06-16T09:06:34.307Z [AUDIT] Token created by 'jfrt@01f8a14r72mv3q01pjn0kj16qe': tokenId='6aa5db80-5218-43c4-849d-c57bb9707e34', issuer='jfrt@01f8a14r72mv3q01pjn0kj16qe', subject='jfrt@01f8a14r72mv3q01pjn0kj16qe', expiry=2569914394304, refreshable=false
2021-06-16T09:06:36.432Z [AUDIT] Token created by 'jfrt@01f8a14r72mv3q01pjn0kj16qe': tokenId='eef25b13-731e-40ff-a5ad-d85b987424f6', issuer='jfrt@01f8a14r72mv3q01pjn0kj16qe/users/_system_', subject='jfrt@01f8a14r72mv3q01pjn0kj16qe/users/_system_', expiry=none, refreshable=false
2021-06-16T09:06:49.377Z [AUDIT] Token created by 'anonymous': tokenId='b38b3459-1a4c-45bb-8458-2dc63d73083c', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-06-16T09:06:49.571Z [AUDIT] Token created by 'jffe@000': tokenId='ed97366f-dcb3-4e1d-a241-a99ef9a3ac15', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623835009570, refreshable=false
2021-06-16T09:07:26.451Z [AUDIT] Token created by 'jffe@000': tokenId='b1aa072e-8d18-476e-8420-6bc9f995f144', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1623835046450, refreshable=false
2021-06-16T09:07:26.454Z [AUDIT] Token created by 'jffe@000': tokenId='0d569921-e80b-4bc0-8533-fe0570b9db9c', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1623835046453, refreshable=false
2021-06-16T09:07:26.454Z [AUDIT] Token created by 'jffe@000': tokenId='b3012954-ef99-4d85-9908-8d382b44a461', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1623835046454, refreshable=false
2021-06-16T09:07:26.477Z [AUDIT] Token created by 'jffe@000': tokenId='5924baa1-80b1-452f-bee3-20f6a7aa08dc', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1623835046477, refreshable=false
2021-06-16T09:07:39.319Z [AUDIT] Token created by 'jffe@000': tokenId='4ad77224-b79a-4f21-8546-f435f08b883f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623836259315, refreshable=true
2021-06-16T09:07:39.495Z [AUDIT] Token created by 'jffe@000': tokenId='dd8dabe1-4c4e-45c1-85fe-99db43f5b3c4', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835059495, refreshable=false
2021-06-16T09:07:39.504Z [AUDIT] Token created by 'jffe@000': tokenId='46608aeb-4195-4c6e-98ab-1021ea61b913', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835059504, refreshable=false
2021-06-16T09:07:39.505Z [AUDIT] Token created by 'jffe@000': tokenId='264769e1-f2f1-4a4a-a484-f2d85f2cad7a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835059504, refreshable=false
2021-06-16T09:08:27.971Z [AUDIT] Token created by 'jffe@000': tokenId='ac4abbc5-5bcd-437f-81c4-8978f9c01137', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835107971, refreshable=false
2021-06-16T09:10:15.297Z [AUDIT] Token created by 'jfrt@01f8a14r72mv3q01pjn0kj16qe': tokenId='b467200d-70cc-4004-a0a9-b2e239344192', issuer='jfrt@01f8a14r72mv3q01pjn0kj16qe', subject='jfrt@01f8a14r72mv3q01pjn0kj16qe/users/admin', expiry=1626253815285, refreshable=false
2021-06-16T09:10:15.415Z [AUDIT] Token created by 'jffe@000': tokenId='d27df84e-5938-4a32-bc4b-fcb4cf7c4ada', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623836415412, refreshable=true
2021-06-16T09:10:15.586Z [AUDIT] Token created by 'jffe@000': tokenId='85c7f641-35d2-4919-8fe4-3c8ec2826b60', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835215586, refreshable=false
